pincode,district,state
793121,East Khasi Hills,MEGHALAYA
560043,Bengaluru Urban,KARNATAKA
208001,Kanpur Nagar,UTTAR PRADESH
202133,Aligarh,UTTAR PRADESH
560016,Bengaluru Urban,KARNATAKA
843331,Sitamarhi,BIHAR
843330,Sitamarhi,BIHAR
271865,Bahraich,UTTAR PRADESH
283204,Firozabad,UTTAR PRADESH
845418,Purbi Champaran,BIHAR
273164,Maharajganj,UTTAR PRADESH
843317,Sitamarhi,BIHAR
431001,Aurangabad,MAHARASHTRA
843324,Sitamarhi,BIHAR
201102,Ghaziabad,UTTAR PRADESH
121004,Faridabad,HARYANA
560068,Bengaluru Urban,KARNATAKA
847108,Madhubani,BIHAR
560032,Bengaluru Urban,KARNATAKA
332001,Sikar,RAJASTHAN
812005,Bhagalpur,BIHAR
143001,Amritsar,PUNJAB
122001,Gurugram,HARYANA
201301,Gautam Buddha Nagar,UTTAR PRADESH
110018,West Delhi,DELHI
477116,Bhind,MADHYA PRADESH
475110,Gwalior,MADHYA PRADESH
483501,Katni,MADHYA PRADESH
110059,West Delhi,DELHI
845304,Purbi Champaran,BIHAR
736135,Coochbehar,WEST BENGAL
226003,Lucknow,UTTAR PRADESH
733129,Dinajpur Uttar,WEST BENGAL
782104,Marigaon,ASSAM
783350,Kokrajhar,ASSAM
282005,Agra,UTTAR PRADESH
247667,Haridwar,UTTARAKHAND
201001,Ghaziabad,UTTAR PRADESH
201206,Ghaziabad,UTTAR PRADESH
782124,Nagaon,ASSAM
431401,Parbhani,MAHARASHTRA
782105,Marigaon,ASSAM
793119,West Khasi Hills,MEGHALAYA
845303,Purbi Champaran,BIHAR
782127,Marigaon,ASSAM
201009,Gautam Buddha Nagar,UTTAR PRADESH
783360,Kokrajhar,ASSAM
110086,North West Delhi,DELHI
282001,Agra,UTTAR PRADESH
793150,West Jaintia Hills,MEGHALAYA
282010,Agra,UTTAR PRADESH
201002,Ghaziabad,UTTAR PRADESH
847421,Madhubani,BIHAR
209801,Unnao,UTTAR PRADESH
247001,Saharanpur,UTTAR PRADESH
786602,Dibrugarh,ASSAM
784509,Udalguri,ASSAM
783390,Chirang,ASSAM
781354,Kamrup,ASSAM
783331,Dhubri,ASSAM
222001,Jaunpur,UTTAR PRADESH
421503,Thane,MAHARASHTRA
560037,Bengaluru Urban,KARNATAKA
787057,Dhemaji,ASSAM
283125,Agra,UTTAR PRADESH
385545,Banas Kantha,GUJARAT
283203,Firozabad,UTTAR PRADESH
474001,Gwalior,MADHYA PRADESH
783348,Dhubri,ASSAM
786156,Tinsukia,ASSAM
524311,Spsr Nellore,ANDHRA PRADESH
560035,Bengaluru Urban,KARNATAKA
209821,Unnao,UTTAR PRADESH
783101,Barpeta,ASSAM
560036,Bengaluru Urban,KARNATAKA
783334,Dhubri,ASSAM
385310,Banas Kantha,GUJARAT
784110,Sonitpur,ASSAM
781366,Baksa,ASSAM
786152,Tinsukia,ASSAM
786151,Tinsukia,ASSAM
271855,Bahraich,UTTAR PRADESH
385330,Banas Kantha,GUJARAT
141007,Ludhiana,PUNJAB
384265,Patan,GUJARAT
786171,Tinsukia,ASSAM
600069,Kanchipuram,TAMIL NADU
800001,Patna,BIHAR
787031,Lakhimpur,ASSAM
783384,Bongaigaon,ASSAM
783339,Dhubri,ASSAM
390019,Vadodara,GUJARAT
263139,Nainital,UTTARAKHAND
385001,Banas Kantha,GUJARAT
202001,Aligarh,UTTAR PRADESH
248001,Dehradun,UTTARAKHAND
560066,Bengaluru Urban,KARNATAKA
283111,Agra,UTTAR PRADESH
786174,Tinsukia,ASSAM
782446,Hojai,ASSAM
560100,Bengaluru Urban,KARNATAKA
524002,Spsr Nellore,ANDHRA PRADESH
560077,Bengaluru Urban,KARNATAKA
793015,East Khasi Hills,MEGHALAYA
389180,Dohad,GUJARAT
283201,Agra,UTTAR PRADESH
363641,Morbi,GUJARAT
492001,Raipur,CHHATTISGARH
273001,Gorakhpur,UTTAR PRADESH
282006,Agra,UTTAR PRADESH
203205,Bulandshahr,UTTAR PRADESH
281204,Mathura,UTTAR PRADESH
845307,Pashchim Champaran,BIHAR
494444,Bijapur,CHHATTISGARH
815353,Deoghar,JHARKHAND
389170,Dohad,GUJARAT
494447,Bijapur,CHHATTISGARH
385535,Banas Kantha,GUJARAT
281201,Mathura,UTTAR PRADESH
842002,Muzaffarpur,BIHAR
385120,Banas Kantha,GUJARAT
385320,Banas Kantha,GUJARAT
210001,Banda,UTTAR PRADESH
370001,Kachchh,GUJARAT
793105,Ri Bhoi,MEGHALAYA
784116,Darrang,ASSAM
781102,Kamrup,ASSAM
473335,Ashok Nagar,MADHYA PRADESH
273305,Maharajganj,UTTAR PRADESH
734010,Darjeeling,WEST BENGAL
788831,North Cachar Hills,ASSAM
793112,East Khasi Hills,MEGHALAYA
834001,Ranchi,JHARKHAND
394107,Surat,GUJARAT
431806,Nanded,MAHARASHTRA
473443,Ashok Nagar,MADHYA PRADESH
785112,Jorhat,ASSAM
362265,Gir Somnath,GUJARAT
421004,Thane,MAHARASHTRA
784507,Sonitpur,ASSAM
226005,Lucknow,UTTAR PRADESH
781025,Kamrup Metro,ASSAM
783120,Goalpara,ASSAM
843313,Sitamarhi,BIHAR
364002,Bhavnagar,GUJARAT
793008,East Khasi Hills,MEGHALAYA
785613,Golaghat,ASSAM
782435,Hojai,ASSAM
843315,Sitamarhi,BIHAR
844127,Muzaffarpur,BIHAR
440034,Nagpur,MAHARASHTRA
384240,Patan,GUJARAT
425001,Jalgaon,MAHARASHTRA
390022,Vadodara,GUJARAT
431512,Hingoli,MAHARASHTRA
413201,Ahmadnagar,MAHARASHTRA
382721,Gandhinagar,GUJARAT
477001,Bhind,MADHYA PRADESH
793108,East Khasi Hills,MEGHALAYA
700159,North 24 Parganas,WEST BENGAL
208004,Kanpur Nagar,UTTAR PRADESH
110040,North West Delhi,DELHI
793016,East Khasi Hills,MEGHALAYA
811213,Munger,BIHAR
782120,Nagaon,ASSAM
560047,Bengaluru,KARNATAKA
797001,Kohima,NAGALAND
343049,Jalor,RAJASTHAN
271824,Bahraich,UTTAR PRADESH
781372,Baksa,ASSAM
387001,Kheda,GUJARAT
390001,Vadodara,GUJARAT
781334,Nalbari,ASSAM
141012,Ludhiana,PUNJAB
387430,Kheda,GUJARAT
786614,Dibrugarh,ASSAM
390020,Vadodara,GUJARAT
401209,Palghar,MAHARASHTRA
853204,Bhagalpur,BIHAR
395004,Surat,GUJARAT
342301,Jodhpur,RAJASTHAN
110003,Central Delhi,DELHI
824231,Gaya,BIHAR
